#, Time, Mark, Alt, Max Alt, TrueH, MagH, Pitch, Roll, Temp, Wind, WMax, WErr 
52, 12:04:38, 0, -0.6, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
53, 12:04:39, 0, -0.8, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
54, 12:04:40, 0, -0.9, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
55, 12:04:41, 0, -1.0, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
56, 12:04:42, 0, -1.3, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
57, 12:04:43, 0, -1.0, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
58, 12:04:44, 0, -1.3, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
59, 12:04:45, 0, -1.3, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
60, 12:04:46, 0, -0.9, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
61, 12:04:47, 0, -1.0, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
62, 12:04:48, 0, -0.8, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
63, 12:04:49, 0, -0.4, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
64, 12:04:50, 0, -0.2, 2.1, 20.4, 7.4, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
65, 12:04:51, 0, -0.3, 2.1, 20.3, 7.3, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
66, 12:04:52, 0, -0.5, 2.1, 20.3, 7.3, 69.8, -57.9, 77.0, 0.1, 0.8, 0 
67, 12:04:53, 0, -0.7, 2.1, 20.2, 7.2, 69.6, -58.3, 77.0, 0.0, 0.8, 0 
68, 12:04:54, 0, -0.5, 2.1, 20.2, 7.2, 69.6, -58.3, 77.0, 0.1, 0.8, 0 
69, 12:04:55, 0, -0.4, 2.1, 20.2, 7.2, 69.6, -58.3, 77.0, 0.1, 0.8, 0 
70, 12:04:56, 0, -0.6, 2.1, 20.2, 7.2, 69.6, -58.3, 77.0, 0.1, 0.8, 0 
71, 12:04:57, 0, -0.9, 2.1, 20.2, 7.2, 69.6, -58.3, 77.0, 0.1, 0.8, 0 
72, 12:04:58, 0, -1.0, 2.1, 20.2, 7.2, 69.6, -58.3, 77.0, 0.1, 0.8, 0 
73, 12:04:59, 0, -1.0, 2.1, 20.2, 7.2, 69.6, -58.3, 77.0, 0.1, 0.8, 0 
74, 12:05:00, 0, -1.2, 2.1, 20.2, 7.2, 69.6, -58.3, 77.0, 0.1, 0.8, 0 
75, 12:05:01, 0, -0.8, 2.1, 19.7, 6.7, 69.6, -58.9, 77.0, 0.1, 0.8, 0 
76, 12:05:02, 0, -0.5, 2.1, 19.7, 6.7, 69.6, -58.9, 77.0, 0.1, 0.8, 0 
77, 12:05:03, 0, -0.1, 2.1, 19.7, 6.7, 69.6, -58.9, 77.0, 0.1, 0.8, 0 
78, 12:05:04, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
79, 12:05:05, 0, -0.3, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
80, 12:05:06, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
81, 12:05:07, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
82, 12:05:08, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
83, 12:05:09, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
84, 12:05:10, 0, -0.3, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
85, 12:05:11, 0, -0.6, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
86, 12:05:12, 0, -0.8, 2.1, 19.6, 6.6, 69.6, -59.0, 77.0, 0.1, 0.8, 0 
87, 12:05:13, 0, -1.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
88, 12:05:14, 0, -1.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
89, 12:05:15, 0, -0.8, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
90, 12:05:16, 0, -0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
91, 12:05:17, 0, -0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
92, 12:05:18, 0, -0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 1 
93, 12:05:19, 0, -0.4, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
94, 12:05:20, 0, -0.6, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
95, 12:05:21, 0, -0.5, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
96, 12:05:22, 0, -0.5, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
97, 12:05:23, 0, -0.6, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
98, 12:05:24, 0, -0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
99, 12:05:25, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
100, 12:05:26, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
101, 12:05:27, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
102, 12:05:28, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
103, 12:05:29, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
104, 12:05:30, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
105, 12:05:31, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
106, 12:05:32, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
107, 12:05:33, 0, -0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
108, 12:05:34, 0, -0.4, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
109, 12:05:35, 0, -0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
110, 12:05:36, 0, -0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
111, 12:05:37, 0, -0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
112, 12:05:38, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
113, 12:05:39, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
114, 12:05:40, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
115, 12:05:41, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
116, 12:05:42, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
117, 12:05:43, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
118, 12:05:44, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
119, 12:05:45, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
120, 12:05:46, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
121, 12:05:47, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
122, 12:05:48, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
123, 12:05:49, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
124, 12:05:50, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
125, 12:05:51, 0, 0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
126, 12:05:52, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
127, 12:05:53, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
128, 12:05:54, 0, 0.4, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
129, 12:05:55, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
130, 12:05:56, 0, 0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
131, 12:05:57, 0, 0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
132, 12:05:58, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
133, 12:05:59, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
134, 12:06:00, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
135, 12:06:01, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
